CRAFTABLE PLANS LIST	Y/N	QUALITY	TYPE	STATION	CATEGORY	STYLE	RELEASE	NOTES
Alinor Candelabra, Wrought Iron		Epic	Diagram	Blacksmithing	Lighting	Alinor	Summerset	
Alinor Candles, Stand		Superior	Blueprint	Woodworking	Lighting	Alinor	Summerset	
Alinor Candles, Tall Stand		Superior	Blueprint	Woodworking	Lighting	Alinor	Summerset	
Alinor Carpet, Alinor Crescent		Epic	Pattern	Clothing	Parlor	Alinor	Summerset	
Alinor Carpet, Intricate		Fine	Pattern	Clothing	Parlor	Alinor	Summerset	
Alinor Carpet, Verdant		Epic	Pattern	Clothing	Parlor	Alinor	Summerset	
Alinor Carpet, Vibrant		Superior	Pattern	Clothing	Parlor	Alinor	Summerset	
Alinor Chair, Polished		Superior	Blueprint	Woodworking	Dining	Alinor	Summerset	
Alinor Chalice, Delicate		Superior	Sketch	Jewelry	Hearth	Alinor	Summerset	
Alinor Chalice, Ornate		Superior	Sketch	Jewelry	Hearth	Alinor	Summerset	
Alinor Chalice, Silver Ornate		Superior	Sketch	jewelry	Hearth	Alinor	Summerset	Called "Alinor Goblet, Silver Ornate" Before Learning
Alinor Column, Heavy Timeworn		Fine	Praxis	Enchanting	Structures	Alinor	Summerset	
Alinor Column, Slender Timeworn		Superior	Praxis	Enchanting	Structures	Alinor	Summerset	
Alinor Column, Timeworn		Superior	Praxis	Enchanting	Structures	Alinor	Summerset	
Alinor Counter, Polished Corner		Superior	Blueprint	Woodworking	Dining	Alinor	Summerset	
Alinor Counter, Polished Drawers		Superior	Blueprint	Woodworking	Dining	Alinor	Summerset	
Alinor Curtains, Drawn		Superior	Pattern	Clothing	Parlor	Alinor	Summerset	
Alinor Curtains, Tall Drawn		Superior	Pattern	Clothing	Parlor	Alinor	Summerset	
Alinor Desk, Mirrored		Epic	Blueprint	Woodworking	Library	Alinor	Summerset	
Alinor Desk, Polished		Superior	Blueprint	Woodworking	Library	Alinor	Summerset	
Alinor Display Stand, Marble		Superior	Praxis	Enchanting	Gallery	Alinor	Summerset	
Alinor Display Stand, Marble Wide		Superior	Praxis	Enchanting	Gallery	Alinor	Summerset	
Alinor Divider, Noble		Epic	Blueprint	Woodworking	Suite	Alinor	Summerset	
Alinor Divider, Polished		Superior	Blueprint	Woodworking	Suite	Alinor	Summerset	
Alinor Drapes, Noble		Epic	Pattern	Clothing	Parlor	Alinor	Summerset	
Alinor Easel, Carved		Legendary	Blueprint	Woodworking	Gallery	Alinor	Ascending Tide	Master Writ Furnishing
Alinor Fence, Tall		Superior	Praxis	Enchanting	Structures	Alinor	Summerset	
Alinor Fence, Tall Long		Superior	Praxis	Enchanting	Structures	Alinor	Summerset	
Alinor Fireplace, Ornate		Epic	Praxis	Enchanting	Structures	Alinor	Summerset	
Alinor Floor, Ballroom Timeworn		Superior	Praxis	Enchanting	Structures	Alinor	Summerset	
Alinor Fountain, Four-Way Timeworn		Epic	Praxis	Enchanting	Courtyard	Alinor	Summerset	
Alinor Fountain, Timeworn		Superior	Praxis	Enchanting	Courtyard	Alinor	Summerset	
Alinor Gaming Table, Punctilious Conflict		Legendary	Praxis	Enchanting	Parlor	Alinor	Wolfhunter	Master Writ Furnishing
Alinor Goblet, Silver Plain		Fine	Sketch	jewelry	Hearth	Alinor	Summerset	
Alinor Goblet, Silver Stamped		Fine	Sketch	jewelry	Hearth	Alinor	Summerset	
Alinor Goblet, Simple		Fine	Sketch	jewelry	Hearth	Alinor	Summerset	
Alinor Grape Stomping Tub		Legendary	Design	Provisioning	Hearth	Alinor	Wolfhunter	Master Writ Furnishing
Alinor Jewelry Box, Noble		Epic	Blueprint	Woodworking	Parlor	Alinor	Summerset	
Alinor Jewelry Box, Octagonal		Superior	Blueprint	Woodworking	Parlor	Alinor	Summerset	
Alinor Jewelry Box, Peaked		Epic	Blueprint	Woodworking	Parlor	Alinor	Summerset	
Alinor Jewelry Box, Polished		Superior	Blueprint	Woodworking	Parlor	Alinor	Summerset	
Alinor Lantern, Hanging		Epic	Diagram	Blacksmithing	Lighting	Alinor	Summerset	
Alinor Lantern, Stationary		Epic	Diagram	Blacksmithing	Lighting	Alinor	Summerset	
Alinor Meal, Complete Setting		Superior	Design	Provisioning	Hearth	Alinor	Summerset	
Alinor Meal, Individual		Fine	Design	Provisioning	Hearth	Alinor	Summerset	
Alinor Nightstand, Noble		Epic	Blueprint	Woodworking	Suite	Alinor	Summerset	
Alinor Nightstand, Octagonal		Superior	Blueprint	Woodworking	Suite	Alinor	Summerset	
Alinor Nightstand, Scalloped		Superior	Blueprint	Woodworking	Suite	Alinor	Summerset	
Alinor Painting, Unfinished		Legendary	Blueprint	Woodworking	Gallery	Alinor	Lost Depths	Currently Unknown How To Obtain
Alinor Pedestal, Timeworn		Fine	Praxis	Enchanting	Gallery	Alinor	Summerset	
Alinor Pew, Polished		Superior	Blueprint	Woodworking	Dining	Alinor	Summerset	Pickpocket Summerset Priests
Alinor Pie Dish, Cherry Pie		Fine	Design	Provisioning	Hearth	Alinor	Summerset	
Alinor Plate, Embossed		Fine	Diagram	Blacksmithing	Hearth	Alinor	Summerset	
Alinor Platter, Scalloped		Superior	Diagram	Blacksmithing	Hearth	Alinor	Summerset	
Alinor Plinth, Sarcophagus		Superior	Praxis	Enchanting	Undercroft	Alinor	Summerset	
Alinor Post, Stone Wall		Fine	Praxis	Enchanting	Structures	Alinor	Summerset	
Alinor Post, Tall Fence		Superior	Praxis	Enchanting	Structures	Alinor	Summerset	
Alinor Pot, Hanging Stamped		Fine	Diagram	Blacksmithing	Hearth	Alinor	Summerset	
Alinor Pot, Limestone		Fine	Praxis	Enchanting	Courtyard	Alinor	Summerset	
Alinor Pot, Patterned		Fine	Diagram	Blacksmithing	Hearth	Alinor	Summerset	
Alinor Potted Plant, Double Tiered		Superior	Praxis	Enchanting	Conservatory	Alinor	Summerset	
Alinor Potted Plant, Perpetual Bloom		Epic	Praxis	Enchanting	Conservatory	Alinor	Summerset	
Alinor Potted Plant, Triple Tiered		Superior	Praxis	Enchanting	Conservatory	Alinor	Summerset	
Alinor Potted Plant, Twin Saplings		Superior	Praxis	Enchanting	Conservatory	Alinor	Summerset	
Alinor Rug, Alinor Seal		Superior	Pattern	Clothing	Parlor	Alinor	Summerset	
Alinor Runner, Royal		Epic	Pattern	Clothing	Parlor	Alinor	Summerset	
Alinor Sarcophagus, Open		Superior	Praxis	Enchanting	Undercroft	Alinor	Summerset	
Alinor Sarcophagus, Peaked		Epic	Praxis	Enchanting	Undercroft	Alinor	Summerset	
Alinor Sarcophagus, Wedge		Epic	Praxis	Enchanting	Undercroft	Alinor	Summerset	
Alinor Sconce, Arched		Superior	Diagram	Blacksmithing	Lighting	Alinor	Summerset	
Alinor Sconce, Arched Glass		Epic	Diagram	Blacksmithing	Lighting	Alinor	Summerset	
Alinor Sconce, Candles		Fine	Diagram	Blacksmithing	Lighting	Alinor	Summerset	
Alinor Sconce, Candles Tall		Fine	Diagram	Blacksmithing	Lighting	Alinor	Summerset	
Alinor Sconce, Crenellated		Superior	Diagram	Blacksmithing	Lighting	Alinor	Summerset	
Alinor Sconce, Lantern		Epic	Diagram	Blacksmithing	Lighting	Alinor	Summerset	
Alinor Sconce, Wrought Glass		Epic	Diagram	Blacksmithing	Lighting	Alinor	Summerset	
Alinor Shrine, Limestone		Superior	Praxis	Enchanting	Undercroft	Alinor	Summerset	
Alinor Shrine, Limestone Raised		Superior	Praxis	Enchanting	Undercroft	Alinor	Summerset	
Alinor Stairway, Timeworn		Superior	Praxis	Enchanting	Structures	Alinor	Summerset	
Alinor Stairway, Timeworn Wide		Superior	Praxis	Enchanting	Structures	Alinor	Summerset	
Alinor Statue, Kinlord		Epic	Praxis	Enchanting	Courtyard	Alinor	Summerset	
Alinor Statue, Orator		Epic	Praxis	Enchanting	Courtyard	Alinor	Summerset	
Alinor Streetlight, Paired Wrought Iron		Epic	Diagram	Blacksmithing	Lighting	Alinor	Summerset	
Alinor Streetlight, Wrought Iron		Epic	Diagram	Blacksmithing	Lighting	Alinor	Summerset	
Alinor Table Setting, Complete		Superior	Diagram	Blacksmithing	Hearth	Alinor	Summerset	
Alinor Table, Decorative Marble		Superior	Praxis	Enchanting	Dining	Alinor	Summerset	
Alinor Table, Noble Grand		Epic	Blueprint	Woodworking	Dining	Alinor	Summerset	
Alinor Table, Noble Intimate		Superior	Blueprint	Woodworking	Dining	Alinor	Summerset	
Alinor Table, Round Marble		Superior	Praxis	Enchanting	Dining	Alinor	Summerset	
Alinor Tapestry, Alinor Dawn		Superior	Pattern	Clothing	Parlor	Alinor	Summerset	
Alinor Tapestry, Alinor Dusk		Superior	Pattern	Clothing	Parlor	Alinor	Summerset	
Alinor Tapestry, Royal Gryphons		Superior	Pattern	Clothing	Parlor	Alinor	Summerset	
Alinor Trunk, Engraved		Superior	Blueprint	Woodworking	Suite	Alinor	Summerset	
Alinor Trunk, Noble		Epic	Blueprint	Woodworking	Suite	Alinor	Summerset	
Alinor Trunk, Peaked		Superior	Blueprint	Woodworking	Suite	Alinor	Summerset	
Alinor Trunk, Spired		Epic	Blueprint	Woodworking	Suite	Alinor	Summerset	
Alinor Urn, Bronze		Superior	Diagram	Blacksmithing	Hearth	Alinor	Summerset	
Alinor Urn, Gilded		Superior	Design	Provisioning	Hearth	Alinor	Summerset	
Alinor Urn, Limestone Large		Superior	Praxis	Enchanting	Courtyard	Alinor	Summerset	
Alinor Urn, Stemmed		Fine	Design	Provisioning	Hearth	Alinor	Summerset	
Alinor Wall Shrine, Marble		Superior	Praxis	Enchanting	Undercroft	Alinor	Summerset	
Alinor Wall, Stone		Fine	Praxis	Enchanting	Structures	Alinor	Summerset	
Alinor Wall, Stone Corner		Fine	Praxis	Enchanting	Structures	Alinor	Summerset	
Alinor Wall, Stone Long		Fine	Praxis	Enchanting	Structures	Alinor	Summerset	
Alinor Wardrobe, Polished		Epic	Blueprint	Woodworking	Suite	Alinor	Summerset	
Alinor Windowbox, Blue Wisteria		Epic	Praxis	Enchanting	Conservatory	Alinor	Summerset	
Alinor Windowbox, Purple Wisteria		Epic	Praxis	Enchanting	Conservatory	Alinor	Summerset	
Alinor Winerack, Polished		Superior	Blueprint	Woodworking	Hearth	Alinor	Summerset	
Alinor Writing Desk, Noble		Epic	Blueprint	Woodworking	Library	Alinor	Summerset	
Ancient Nord Monolith, Head		Legendary	Praxis	Enchanting	Courtyard	Nord	Stonethorn	Master Writ Furnishing
Apparatus, Boiler		Legendary	Diagram	Blacksmithing	Workshop	Miscellaneous	Homestead	Master Writ Furnishing
Apparatus, Gem Calipers		Legendary	Diagram	Blacksmithing	Workshop	Miscellaneous	Homestead	Master Writ Furnishing
Apple, Display		Fine	Design	Provisioning	Hearth	Plain Food	Homestead	
Argonian Banner, Half Hands		Epic	Pattern	Clothing	Parlor	Argonian	Homestead	
Argonian Banner, Hanging		Fine	Pattern	Clothing	Parlor	Argonian	Homestead	
Argonian Banners, Frilled		Epic	Pattern	Clothing	Parlor	Argonian	Homestead	
Argonian Bar, Woven Corner		Superior	Blueprint	Woodworking	Dining	Argonian	Homestead	
Argonian Bark, Painted		Epic	Blueprint	Woodworking	Undercroft	Argonian	Homestead	
Argonian Basket, Closed		Superior	Pattern	Clothing	Hearth	Argonian	Homestead	
Argonian Basket, Serving		Fine	Pattern	Clothing	Hearth	Argonian	Homestead	
Argonian Basket, Woven		Superior	Pattern	Clothing	Hearth	Argonian	Homestead	
Argonian Baskets, Double		Fine	Pattern	Clothing	Hearth	Argonian	Homestead	
Argonian Bed, Woven		Superior	Blueprint	Woodworking	Suite	Argonian	Homestead	
Argonian Bedroll, Woven		Epic	Pattern	Clothing	Suite	Argonian	Homestead	
Argonian Bench, Woven		Superior	Blueprint	Woodworking	Dining	Argonian	Homestead	
Argonian Bin, Woven		Superior	Pattern	Clothing	Hearth	Argonian	Homestead	
Argonian Bone Chimes		Epic	Design	Provisioning	Undercroft	Argonian	Homestead	
Argonian Bookcase, Sturdy		Superior	Blueprint	Woodworking	Library	Argonian	Homestead	
Argonian Bookshelf, Woven		Superior	Blueprint	Woodworking	Library	Argonian	Homestead	
Argonian Bowl, Bordered		Superior	Praxis	Enchanting	Hearth	Argonian	Homestead	
Argonian Bowl, Ritual		Epic	Praxis	Enchanting	Hearth	Argonian	Homestead	
Argonian Bowl, Serving		Superior	Diagram	Blacksmithing	Hearth	Argonian	Homestead	
Argonian Bowl, Wooden		Fine	Praxis	Enchanting	Hearth	Argonian	Homestead	
Argonian Box, Woven		Superior	Pattern	Clothing	Hearth	Argonian	Homestead	Reads as Diagram until learned then becomes Pattern.
Argonian Brazier, Mud		Epic	Praxis	Enchanting	Lighting	Argonian	Homestead	
Argonian Cage, Bird		Superior	Blueprint	Woodworking	Hearth	Argonian	Homestead	
Argonian Cage, Rat		Superior	Blueprint	Woodworking	Hearth	Argonian	Homestead	
Argonian Canopy, Frilled		Epic	Pattern	Clothing	Structures	Argonian	Homestead	
Argonian Canopy, Reed		Fine	Blueprint	Woodworking	Structures	Argonian	Homestead	
Argonian Canopy, Scaled		Epic	Pattern	Clothing	Structures	Argonian	Homestead	
Argonian Canopy, Skull		Epic	Pattern	Clothing	Structures	Argonian	Homestead	
Argonian Censer		Epic	Praxis	Enchanting	Undercroft	Argonian	Homestead	
Argonian Chair, Rough		Fine	Blueprint	Woodworking	Dining	Argonian	Homestead	
Argonian Chair, Woven		Superior	Blueprint	Woodworking	Dining	Argonian	Homestead	
Argonian Chest, Carved		Epic	Praxis	Enchanting	Suite	Argonian	Homestead	
Argonian Chimney Stack		Fine	Blueprint	Woodworking	Workshop	Argonian	Homestead	
Argonian Counter, Long		Fine	Blueprint	Woodworking	Dining	Argonian	Homestead	
Argonian Cup, Bordered		Superior	Diagram	Blacksmithing	Hearth	Argonian	Homestead	
Argonian Cup, Short		Fine	Design	Provisioning	Hearth	Argonian	Homestead	
Argonian Cup, Tall		Fine	Blueprint	Woodworking	Hearth	Argonian	Homestead	
Argonian Curtain of Smoke		Epic	Pattern	Clothing	Parlor	Argonian	Homestead	
Argonian Curtain of the Nest		Epic	Pattern	Clothing	Parlor	Argonian	Homestead	
Argonian Curtain, Woven		Superior	Pattern	Clothing	Parlor	Argonian	Homestead	
Argonian Curtains, Woven		Superior	Pattern	Clothing	Parlor	Argonian	Homestead	
Argonian Divider, Stretched		Epic	Pattern	Clothing	Suite	Argonian	Homestead	
Argonian Dresser, Sturdy		Superior	Blueprint	Woodworking	Suite	Argonian	Homestead	
Argonian Dried Leaves		Fine	Blueprint	Woodworking	Hearth	Argonian	Homestead	
Argonian Drum, Ceremonial		Epic	Pattern	Clothing	Undercroft	Argonian	Homestead	
Argonian End Table, Woven		Superior	Blueprint	Woodworking	Parlor	Argonian	Homestead	
Argonian Gravestick		Epic	Blueprint	Woodworking	Undercroft	Argonian	Homestead	
Argonian Hamper, Woven		Epic	Blueprint	Woodworking	Hearth	Argonian	Homestead	
Argonian Jug, Ritual		Epic	Praxis	Enchanting	Hearth	Argonian	Homestead	
Argonian Lamp, Mud		Epic	Praxis	Enchanting	Lighting	Argonian	Homestead	
Argonian Lamppost		Superior	Pattern	Clothing	Lighting	Argonian	Homestead	
Argonian Lanterns, Strand		Epic	Pattern	Clothing	Lighting	Argonian	Homestead	
Argonian Lanterns, String		Epic	Pattern	Clothing	Lighting	Argonian	Homestead	
Argonian Lattice, Rough		Fine	Blueprint	Woodworking	Structures	Argonian	Homestead	
Argonian Light, Stick		Epic	Design	Provisioning	Lighting	Argonian	Homestead	
Argonian Lights, Branch		Epic	Design	Provisioning	Lighting	Argonian	Homestead	
Argonian Mat, Reed		Fine	Pattern	Clothing	Suite	Argonian	Homestead	
Argonian Mat, Rolled Reed		Fine	Pattern	Clothing	Suite	Argonian	Homestead	
Argonian Mat, Tidy Reed		Fine	Pattern	Clothing	Suite	Argonian	Homestead	
Argonian Medallion, Stone		Superior	Praxis	Enchanting	Gallery	Argonian	Homestead	
Argonian Mortar and Pestle, Bone		Epic	Praxis	Enchanting	Hearth	Argonian	Homestead	
Argonian Mortar, Bone		Epic	Praxis	Enchanting	Hearth	Argonian	Homestead	
Argonian Mug, Tooth		Fine	Blueprint	Woodworking	Hearth	Argonian	Homestead	
Argonian Pan, Frying		Fine	Praxis	Enchanting	Hearth	Argonian	Homestead	
Argonian Pedestal, Altar		Epic	Praxis	Enchanting	Undercroft	Argonian	Homestead	
Argonian Pestle, Bone		Epic	Formula	Alchemy	Hearth	Argonian	Homestead	
Argonian Pole, Split		Fine	Blueprint	Woodworking	Hearth	Argonian	Homestead	
Argonian Post, Frilled		Epic	Design	Provisioning	Courtyard	Argonian	Homestead	
Argonian Post, Rough		Fine	Blueprint	Woodworking	Courtyard	Argonian	Homestead	
Argonian Post, Sturdy		Fine	Blueprint	Woodworking	Courtyard	Argonian	Homestead	
Argonian Pot, Ritual		Epic	Praxis	Enchanting	Undercroft	Argonian	Homestead	
Argonian Rack, Drying		Superior	Pattern	Clothing	Hearth	Argonian	Homestead	
Argonian Rack, Sturdy		Fine	Blueprint	Woodworking	Hearth	Argonian	Homestead	
Argonian Ramekin, Bordered		Superior	Praxis	Enchanting	Hearth	Argonian	Homestead	
Argonian Ramekin, Hardened		Fine	Praxis	Enchanting	Hearth	Argonian	Homestead	
Argonian Relic, Basin		Epic	Praxis	Enchanting	Undercroft	Argonian	Homestead	
Argonian Relic, Serpent		Epic	Praxis	Enchanting	Undercroft	Argonian	Homestead	
Argonian Relic, Small Serpent		Epic	Praxis	Enchanting	Undercroft	Argonian	Homestead	
Argonian Scaleskin, Faded		Superior	Pattern	Clothing	Suite	Argonian	Homestead	
Argonian Scaleskin, Pale		Superior	Pattern	Clothing	Suite	Argonian	Homestead	
Argonian Scaleskin, Striped		Superior	Pattern	Clothing	Suite	Argonian	Homestead	
Argonian Seat of Authority		Epic	Pattern	Clothing	Dining	Argonian	Homestead	
Argonian Seat of Comfort		Epic	Pattern	Clothing	Dining	Argonian	Homestead	
Argonian Seat of Honor		Epic	Pattern	Clothing	Dining	Argonian	Homestead	
Argonian Shelf, Woven		Superior	Blueprint	Woodworking	Library	Argonian	Homestead	
Argonian Shelves, Full		Fine	Pattern	Clothing	Library	Argonian	Homestead	
Argonian Shelves, Half		Fine	Pattern	Clothing	Library	Argonian	Homestead	
Argonian Skull, Crocodile		Epic	Design	Provisioning	Undercroft	Argonian	Homestead	
Argonian Skull, Lizard		Epic	Design	Provisioning	Undercroft	Argonian	Homestead	
Argonian Snakes in a Basket		Superior	Blueprint	Woodworking	Hearth	Argonian	Homestead	
Argonian Snakes on a Rope		Fine	Design	Provisioning	Hearth	Argonian	Homestead	
Argonian Stool, Roped		Fine	Blueprint	Woodworking	Workshop	Argonian	Homestead	
Argonian Stool, Woven		Superior	Blueprint	Woodworking	Workshop	Argonian	Homestead	
Argonian Table, Formal		Superior	Blueprint	Woodworking	Dining	Argonian	Homestead	
Argonian Table, Horn		Epic	Blueprint	Woodworking	Dining	Argonian	Homestead	
Argonian Table, Rough		Fine	Blueprint	Woodworking	Dining	Argonian	Homestead	
Argonian Tarp, Sturdy		Fine	Pattern	Clothing	Structures	Argonian	Homestead	
Argonian Tarp, Woven		Fine	Pattern	Clothing	Structures	Argonian	Homestead	
Argonian Tent, Reed		Fine	Blueprint	Woodworking	Structures	Argonian	Homestead	
Argonian Tile, Inscribed		Epic	Praxis	Enchanting	Structures	Argonian	Homestead	
Argonian Totem of Skulls		Epic	Design	Provisioning	Undercroft	Argonian	Homestead	
Argonian Totem of the Snake		Epic	Design	Provisioning	Undercroft	Argonian	Homestead	
Argonian Totem, Frilled Skull		Superior	Design	Provisioning	Undercroft	Argonian	Homestead	
Argonian Totem, Painted Skull		Superior	Design	Provisioning	Undercroft	Argonian	Homestead	
Argonian Tray, Woven		Superior	Pattern	Clothing	Hearth	Argonian	Homestead	
Argonian Tree of Lights		Epic	Design	Provisioning	Lighting	Argonian	Homestead	
Argonian Trunk, Painted		Epic	Blueprint	Woodworking	Suite	Argonian	Homestead	
Argonian Trunk, Sturdy		Superior	Blueprint	Woodworking	Suite	Argonian	Homestead	
Argonian Urn, Clawfoot		Superior	Praxis	Enchanting	Undercroft	Argonian	Homestead	
Argonian Wind Chimes		Superior	Blueprint	Woodworking	Undercroft	Argonian	Homestead	
Artist's Palette, Pigment		Legendary	Formula	Alchemy	Parlor	Miscellaneous	Wolfhunter	Master Writ Furnishing
Ashlander Cup, Empty		Superior	Blueprint	Woodworking	Hearth	Ashlander	Morrowind / Clockwork	
Ashlander Cup, Mazte		Superior	Blueprint	Woodworking	Hearth	Ashlander	Morrowind / Clockwork	
Ashlander Platter, Bread and Cheese		Superior	Design	Provisioning	Hearth	Ashlander	Morrowind / Clockwork	
Ashlander Platter, Ceramic		Superior	Design	Provisioning	Hearth	Ashlander	Morrowind / Clockwork	
Ayleid Bench, Carved		Superior	Praxis	Enchanting	Dining	Ayleid	Morrowind / Clockwork	Drops From Mobs In Ayleid Ruins
Ayleid Bookcase, Cluttered		Epic	Praxis	Enchanting	Library	Ayleid	Morrowind / Clockwork	Drops From Mobs In Ayleid Ruins
Ayleid Bookshelf, Cluttered		Epic	Praxis	Enchanting	Library	Ayleid	Morrowind / Clockwork	Drops From Mobs In Ayleid Ruins
Ayleid Brazier, Fiery		Epic	Diagram	Blacksmithing	Lighting	Ayleid	Morrowind / Clockwork	Drops From Mobs In Ayleid Ruins
Ayleid Brazier, Welkynd Holder		Superior	Diagram	Blacksmithing	Gallery	Ayleid	Morrowind / Clockwork	Drops From Mobs In Ayleid Ruins
Ayleid Table, Carved		Superior	Praxis	Enchanting	Dining	Ayleid	Morrowind / Clockwork	Drops From Mobs In Ayleid Ruins
Baked Potato, Display		Superior	Design	Provisioning	Hearth	Plain Food	Homestead	
Banana, Wax		Fine	Design	Provisioning	Hearth	Plain Food	Homestead	
Basket of Apples		Superior	Design	Provisioning	Hearth	Plain Food	Homestead	
Basket of Apples, Full		Superior	Design	Provisioning	Hearth	Plain Food	Homestead	
Basket of Corn		Superior	Design	Provisioning	Hearth	Plain Food	Homestead	
Basket of Gourds		Superior	Design	Provisioning	Hearth	Plain Food	Homestead	
Basket of Lettuce		Superior	Design	Provisioning	Hearth	Plain Food	Homestead	
Basket of Tomatoes		Superior	Design	Provisioning	Hearth	Plain Food	Homestead	
Beet String, Display		Fine	Design	Provisioning	Hearth	Plain Food	Homestead	
Beets, Display		Fine	Design	Provisioning	Hearth	Plain Food	Homestead	
Blackreach Geode, Iridescent		Legendary	Sketch	Jewelry	Conservatory	Miscellaneous	Stonethorn	Master Writ Furnishing
Blackwood Cottage Painting, Unframed		Legendary	Formula	Alchemy	Gallery	Leyawiin	Waking Flame	Master Writ Furnishing
Blackwood Provisioning Station		Legendary	Design	Provisioning	Services	Argonian	Ascending Tide	Master Writ Furnishing
Book Row, Levitating		Fine	Praxis	Enchanting	Library	Psijic	Summerset	Purchase From Artaeum
Book Stack, Levitating		Fine	Praxis	Enchanting	Library	Psijic	Summerset	Purchase From Artaeum
Book Stack, Well-Read		Fine	Pattern	Clothing	Library	Miscellaneous	High Isle	
Bottle, Elixir		Epic	Formula	Alchemy	Hearth	Miscellaneous	Homestead	
Bottle, Liquor		Epic	Formula	Alchemy	Hearth	Miscellaneous	Homestead	
Bottle, Poison Elixir		Legendary	Formula	Alchemy	Hearth	Miscellaneous	Homestead	Master Writ Furnishing
Bottle, Wine		Epic	Formula	Alchemy	Hearth	Miscellaneous	Homestead	
Bowl of Grubs		Fine	Blueprint	Woodworking	Hearth	Argonian	Murkmire	
Bowl of Guts		Fine	Design	Provisioning	Hearth	Argonian	Murkmire	
Bowl of Worms		Fine	Design	Provisioning	Hearth	Argonian	Murkmire	
Bowl of Worms, Large		Superior	Design	Provisioning	Hearth	Argonian	Murkmire	
Bowl, Serving		Fine	Diagram	Blacksmithing	Hearth	Miscellaneous	Homestead	
Box of Plums		Superior	Design	Provisioning	Hearth	Plain Food	Homestead	
Bread Loaves, Round		Superior	Design	Provisioning	Hearth	Plain Food	Homestead	
Bread, Braided		Superior	Design	Provisioning	Hearth	Plain Food	Homestead	
Bread, Hearty Loaves		Superior	Design	Provisioning	Hearth	Plain Food	Homestead	
Bread, Round		Superior	Design	Provisioning	Hearth	Plain Food	Homestead	
