Name	Quality	Category	Resin	Wax	Ochre	Rune	Wood	Regulus	Bast	Pelt	Patch	Mat Sum
Alinor Chalice, Delicate	superior	Hearth			7.0	5.0		5.0			Summerset	17.0
Alinor Chalice, Ornate	superior	Hearth		7.0	7.0	5.0					Summerset	19.0
Alinor Chalice, Silver Ornate	superior	Hearth		6.0	7.0	6.0					Summerset	19.0
Alinor Column, Heavy Timeworn	fine	Structures	5.0			7.0					Summerset	12.0
Alinor Column, Slender Timeworn	superior	Structures	6.0			9.0					Summerset	15.0
Alinor Column, Timeworn	superior	Structures	7.0			10.0					Summerset	17.0
Alinor Counter, Polished Corner	superior	Dining		5.0	5.0	5.0	9.0				Summerset	24.0
Alinor Counter, Polished Drawers	superior	Dining		5.0	5.0		10.0	5.0			Summerset	25.0
Alinor Curtains, Drawn	superior	Parlor	5.0		6.0				9.0		Summerset	20.0
Alinor Curtains, Tall Drawn	superior	Parlor	5.0		6.0				10.0		Summerset	21.0
Alinor Desk, Mirrored	epic	Library	7.0	7.0			12.0	7.0			Summerset	33.0
Alinor Desk, Polished	superior	Library		6.0			10.0	5.0			Summerset	21.0
Alinor Display Stand, Marble	superior	Gallery	6.0	6.0		10.0					Summerset	22.0
Alinor Display Stand, Marble Wide	superior	Gallery	5.0	6.0		9.0					Summerset	20.0
Alinor Divider, Noble	epic	Suite		8.0	7.0		13.0	7.0			Summerset	35.0
Alinor Divider, Polished	superior	Suite		5.0	5.0		9.0	5.0			Summerset	24.0
Alinor Drapes, Noble	epic	Parlor	7.0		7.0		7.0		13.0		Summerset	34.0
Alinor Fence, Tall	superior	Structures				8.0		5.0			Summerset	13.0
Alinor Fence, Tall Long	superior	Structures				9.0		6.0			Summerset	15.0
Alinor Fireplace, Ornate	epic	Structures	8.0	8.0		12.0					Summerset	28.0
Alinor Floor, Ballroom Timeworn	superior	Structures	5.0		5.0	10.0					Summerset	20.0
Alinor Fountain, Four-Way Timeworn	epic	Courtyard	8.0	7.0	7.0	13.0					Summerset	35.0
Alinor Fountain, Timeworn	superior	Courtyard	5.0	6.0	5.0	10.0					Summerset	26.0
Alinor Gaming Table, Punctilious Conflict	legendary	Parlor	13.0	11.0	11.0		15.0				Wolfhunter	50.0
Alinor Goblet, Silver Plain	fine	Hearth			5.0						Summerset	5.0
Alinor Goblet, Silver Stamped	fine	Hearth			5.0	4.0					Summerset	9.0
Alinor Goblet, Simple	fine	Hearth		4.0	5.0						Summerset	9.0
Alinor Grape Stomping Tub	legendary	Hearth		11.0			15.0	15.0			Wolfhunter	41.0
Alinor Jewelry Box, Noble	epic	Parlor		6.0	8.0		12.0	6.0			Summerset	32.0
Alinor Jewelry Box, Octagonal	superior	Parlor		5.0	6.0	5.0	10.0				Summerset	26.0
Alinor Jewelry Box, Peaked	epic	Parlor		8.0	9.0		13.0				Summerset	30.0
Alinor Jewelry Box, Polished	superior	Parlor		5.0	5.0		9.0	5.0			Summerset	24.0
Alinor Lantern, Hanging	epic	Lighting	8.0		8.0			12.0			Summerset	28.0
Alinor Lantern, Stationary	epic	Lighting	8.0		7.0			11.0			Summerset	26.0
Alinor Meal, Complete Setting	superior	Hearth		8.0				7.0	5.0		Summerset	20.0
Alinor Meal, Individual	fine	Hearth		6.0	4.0			4.0			Summerset	14.0
Alinor Nightstand, Noble	epic	Suite		7.0	7.0		12.0	7.0			Summerset	33.0
Alinor Nightstand, Octagonal	superior	Suite		6.0			9.0				Summerset	15.0
Alinor Nightstand, Scalloped	superior	Suite		5.0	6.0		10.0				Summerset	21.0
Alinor Pedestal, Timeworn	fine	Gallery	4.0			6.0					Summerset	10.0
Alinor Pew, Polished	superior	Dining		6.0			9.0				Summerset	15.0
Alinor Pie Dish, Cherry Pie	fine	Hearth		6.0		4.0					Summerset	10.0
Alinor Plate, Embossed	fine	Hearth			3.0			5.0			Summerset	8.0
Alinor Platter, Scalloped	superior	Hearth			6.0			8.0			Summerset	14.0
Alinor Plinth, Sarcophagus	superior	Undercroft	5.0		5.0	8.0					Summerset	18.0
Alinor Post, Stone Wall	fine	Structures				5.0					Summerset	5.0
Alinor Post, Tall Fence	superior	Structures			5.0	8.0					Summerset	13.0
Alinor Pot, Hanging Stamped	fine	Hearth						6.0			Summerset	6.0
Alinor Pot, Limestone	fine	Courtyard				7.0					Summerset	7.0
Alinor Pot, Patterned	fine	Hearth						7.0			Summerset	7.0
Alinor Potted Plant, Double Tiered	superior	Conservatory		5.0		8.0	5.0				Summerset	18.0
Alinor Potted Plant, Perpetual Bloom	epic	Conservatory		10.0		13.0	7.0				Summerset	30.0
Alinor Potted Plant, Triple Tiered	superior	Conservatory		5.0		9.0	5.0				Summerset	19.0
Alinor Potted Plant, Twin Saplings	superior	Conservatory		5.0		10.0	6.0				Summerset	21.0
Alinor Rug, Alinor Seal	superior	Parlor	5.0	5.0					10.0		Summerset	20.0
Alinor Runner, Royal	epic	Parlor	8.0	8.0					12.0		Summerset	28.0
Alinor Sarcophagus, Open	superior	Undercroft	5.0		5.0	9.0					Summerset	19.0
Alinor Sarcophagus, Peaked	epic	Undercroft	9.0		8.0	13.0					Summerset	30.0
Alinor Sarcophagus, Wedge	epic	Undercroft	8.0		9.0	13.0					Summerset	30.0
Alinor Sconce, Arched	superior	Lighting	6.0					9.0			Summerset	15.0
Alinor Sconce, Arched Glass	epic	Lighting	8.0		8.0			12.0			Summerset	28.0
Alinor Sconce, Candles	fine	Lighting		4.0			5.0	2.0			Summerset	11.0
Alinor Sconce, Candles Tall	fine	Lighting		5.0			6.0	2.0			Summerset	13.0
Alinor Sconce, Crenellated	superior	Lighting	5.0					8.0			Summerset	13.0
Alinor Sconce, Lantern	epic	Lighting	8.0		9.0			13.0			Summerset	30.0
Alinor Sconce, Wrought Glass	epic	Lighting	9.0		8.0			13.0			Summerset	30.0
Alinor Shrine, Limestone	superior	Undercroft	5.0		5.0	9.0					Summerset	19.0
Alinor Shrine, Limestone Raised	superior	Undercroft	6.0		6.0	9.0					Summerset	21.0
Alinor Stairway, Timeworn	superior	Structures	5.0			11.0					Summerset	16.0
Alinor Stairway, Timeworn Wide	superior	Structures	5.0			12.0					Summerset	17.0
Alinor Statue, Kinlord	epic	Courtyard	7.0	7.0	7.0	13.0					Summerset	34.0
Alinor Statue, Orator	epic	Courtyard	6.0	7.0	7.0	12.0					Summerset	32.0
Alinor Streetlight, Paired Wrought Iron	epic	Lighting	9.0		8.0			13.0			Summerset	30.0
Alinor Streetlight, Wrought Iron	epic	Lighting	8.0		8.0			12.0			Summerset	28.0
Alinor Table Setting, Complete	superior	Dining		5.0				9.0	5.0		Summerset	19.0
Alinor Table, Decorative Marble	superior	Dining	5.0	5.0		9.0					Summerset	19.0
Alinor Table, Noble Grand	epic	Dining	6.0	8.0		8.0	13.0				Summerset	35.0
Alinor Table, Noble Intimate	superior	Dining		7.0		7.0	11.0				Summerset	25.0
Alinor Table, Round Marble	superior	Dining	6.0	5.0		9.0					Summerset	20.0
Alinor Tapestry, Alinor Dawn	superior	Parlor	5.0					5.0	9.0		Summerset	19.0
Alinor Tapestry, Alinor Dusk	superior	Parlor	5.0					5.0	9.0		Summerset	19.0
Alinor Tapestry, Royal Gryphons	superior	Parlor	6.0					5.0	10.0		Summerset	21.0
Alinor Trunk, Engraved	superior	Suite		5.0	5.0		10.0	5.0			Summerset	25.0
Alinor Trunk, Noble	epic	Suite		6.0	7.0		12.0	8.0			Summerset	33.0
Alinor Trunk, Peaked	superior	Suite		5.0			9.0	7.0			Summerset	21.0
Alinor Trunk, Spired	epic	Suite		7.0	8.0		13.0	8.0			Summerset	36.0
Alinor Urn, Bronze	superior	Hearth			7.0			9.0			Summerset	16.0
Alinor Urn, Gilded	superior	Hearth		8.0	6.0						Summerset	14.0
Alinor Urn, Limestone Large	superior	Courtyard	5.0			9.0					Summerset	14.0
Alinor Urn, Stemmed	fine	Hearth		5.0	4.0			5.0			Summerset	14.0
Alinor Wall Shrine, Marble	superior	Undercroft				10.0		6.0			Summerset	16.0
Alinor Wall, Stone	fine	Structures				6.0					Summerset	6.0
Alinor Wall, Stone Corner	fine	Structures				6.0					Summerset	6.0
Alinor Wall, Stone Long	fine	Structures				7.0					Summerset	7.0
Alinor Wardrobe, Polished	epic	Suite		8.0	6.0	6.0	12.0				Summerset	32.0
Alinor Windowbox, Blue Wisteria	epic	Conservatory		9.0		13.0	8.0				Summerset	30.0
Alinor Windowbox, Purple Wisteria	epic	Conservatory		8.0		12.0	8.0				Summerset	28.0
Alinor Winerack, Polished	superior	Hearth		6.0			10.0				Summerset	16.0
Alinor Writing Desk, Noble	epic	Library		7.0		9.0	12.0				Summerset	28.0
Ancient Nord Monolith, Head	 legendary	Courtyard	12.0			15.0		15.0			Stonethorn	0.0
Apparatus, Boiler	legendary	Workshop	13.0	11.0		14.0		15.0			Homestead	53.0
Apparatus, Gem Calipers	legendary	Workshop	13.0	11.0		15.0		15.0			Homestead	54.0
Apple, Display	fine	Hearth		3.0							Homestead	3.0
Argonian Banner, Half Hands	epic	Parlor		8.0			8.0		12.0		Homestead	28.0
Argonian Banner, Hanging	fine	Parlor	4.0						7.0		Homestead	11.0
Argonian Banners, Frilled	epic	Parlor		7.0			9.0		12.0		Homestead	28.0
Argonian Bar, Woven Corner	superior	Dining					10.0	5.0		8.0	Homestead	23.0
Argonian Bark, Painted	epic	Undercroft	8.0			8.0	12.0				Homestead	28.0
Argonian Basket, Closed	superior	Hearth	5.0				5.0			7.0	Homestead	17.0
Argonian Basket, Serving	fine	Hearth							4.0		Homestead	4.0
Argonian Basket, Woven	superior	Hearth		5.0			5.0		7.0		Homestead	17.0
Argonian Baskets, Double	fine	Hearth							5.0		Homestead	5.0
Argonian Bed, Woven	superior	Suite		4.0			9.0		8.0		Homestead	21.0
Argonian Bedroll, Woven	epic	Suite	7.0				9.0		12.0		Homestead	28.0
Argonian Bench, Woven	superior	Dining					8.0	5.0	6.0		Homestead	19.0
Argonian Bin, Woven	superior	Hearth	5.0				5.0		7.0		Homestead	17.0
Argonian Bone Chimes	epic	Undercroft		10.0			8.0		6.0		Homestead	24.0
Argonian Bookcase, Sturdy	superior	Library					10.0	6.0	7.0		Homestead	23.0
Argonian Bookshelf, Woven	superior	Library					9.0	6.0	6.0		Homestead	21.0
Argonian Bowl, Bordered	superior	Hearth		6.0		9.0					Homestead	15.0
Argonian Bowl, Ritual	epic	Hearth	8.0			11.0		7.0			Homestead	26.0
Argonian Bowl, Serving	superior	Hearth		4.0		6.0		7.0			Homestead	17.0
Argonian Bowl, Wooden	fine	Hearth					6.0				Homestead	6.0
Argonian Box, Woven	superior	Hearth					5.0		7.0		Homestead	12.0
Argonian Brazier, Mud	epic	Lighting	8.0			13.0		9.0			Homestead	30.0
Argonian Cage, Bird	superior	Hearth		6.0		5.0	8.0				Homestead	19.0
Argonian Cage, Rat	superior	Hearth		5.0		5.0	7.0				Homestead	17.0
Argonian Canopy, Frilled	epic	Structures		8.0			8.0		12.0		Homestead	28.0
Argonian Canopy, Reed	fine	Structures					6.0		4.0		Homestead	10.0
Argonian Canopy, Scaled	epic	Structures		7.0			7.0		10.0		Homestead	24.0
Argonian Canopy, Skull	epic	Structures		7.0			8.0		11.0		Homestead	26.0
Argonian Censer	epic	Undercroft	6.0			12.0	10.0				Homestead	28.0
Argonian Chair, Rough	fine	Dining					5.0				Homestead	5.0
Argonian Chair, Woven	superior	Dining					7.0	4.0	6.0		Homestead	17.0
Argonian Chest, Carved	epic	Suite	7.0			13.0		10.0			Homestead	30.0
Argonian Chimney Stack	fine	Workshop					4.0				Homestead	4.0
Argonian Counter, Long	fine	Dining					4.0				Homestead	4.0
Argonian Cup, Bordered	superior	Hearth	5.0	5.0				7.0			Homestead	17.0
Argonian Cup, Short	fine	Hearth		4.0							Homestead	4.0
Argonian Cup, Tall	fine	Hearth		4.0			6.0				Homestead	10.0
Argonian Curtain of Smoke	epic	Parlor	7.0	7.0					10.0		Homestead	24.0
Argonian Curtain of the Nest	epic	Parlor	10.0	7.0					13.0		Homestead	30.0
Argonian Curtain, Woven	superior	Parlor		5.0			6.0		8.0		Homestead	19.0
Argonian Curtains, Woven	superior	Parlor		5.0		5.0				7.0	Homestead	17.0
Argonian Divider, Stretched	epic	Suite	8.0				13.0		9.0		Homestead	30.0
Argonian Dresser, Sturdy	superior	Suite	5.0				8.0		6.0		Homestead	19.0
Argonian Dried Leaves	fine	Hearth					4.0				Homestead	4.0
Argonian Drum, Ceremonial	epic	Undercroft				9.0	9.0		14.0		Homestead	32.0
Argonian End Table, Woven	superior	Parlor					8.0	5.0	6.0		Homestead	19.0
Argonian Gravestick	epic	Undercroft				8.0	12.0		8.0		Homestead	28.0
Argonian Hamper, Woven	epic	Hearth				7.0	10.0		7.0		Homestead	24.0
Argonian Jug, Ritual	epic	Hearth	8.0			12.0		8.0			Homestead	28.0
Argonian Lamp, Mud	epic	Lighting	9.0			14.0		9.0			Homestead	32.0
Argonian Lamppost	superior	Lighting	5.0			6.0			8.0		Homestead	19.0
Argonian Lanterns, Strand	epic	Lighting	8.0			7.0			11.0		Homestead	26.0
Argonian Lanterns, String	epic	Lighting	8.0			7.0			11.0		Homestead	26.0
Argonian Lattice, Rough	fine	Structures					6.0	3.0	4.0		Homestead	13.0
Argonian Light, Stick	epic	Lighting		10.0			8.0		6.0		Homestead	24.0
Argonian Lights, Branch	epic	Lighting		10.0		6.0	8.0				Homestead	24.0
Argonian Mat, Reed	fine	Suite							4.0		Homestead	4.0
Argonian Mat, Rolled Reed	fine	Suite							4.0		Homestead	4.0
Argonian Mat, Tidy Reed	fine	Suite							4.0		Homestead	4.0
Argonian Medallion, Stone	superior	Gallery	5.0			9.0		4.0			Homestead	18.0
Argonian Mortar and Pestle, Bone	epic	Hearth	9.0	7.0		12.0					Homestead	28.0
Argonian Mortar, Bone	epic	Hearth	8.0	7.0		11.0					Homestead	26.0
Argonian Mug, Tooth	fine	Hearth	4.0			4.0	6.0				Homestead	14.0
Argonian Pan, Frying	fine	Hearth				4.0					Homestead	4.0
Argonian Pedestal, Altar	epic	Undercroft	6.0			13.0		11.0			Homestead	30.0
Argonian Pestle, Bone	epic	Hearth	10.0	7.0		7.0					Homestead	24.0
Argonian Pole, Split	fine	Hearth					7.0				Homestead	7.0
Argonian Post, Frilled	epic	Courtyard		10.0			7.0		7.0		Homestead	24.0
Argonian Post, Rough	fine	Courtyard					6.0				Homestead	6.0
Argonian Post, Sturdy	fine	Courtyard					7.0				Homestead	7.0
Argonian Pot, Ritual	epic	Undercroft				12.0		8.0	8.0		Homestead	28.0
Argonian Rack, Drying	superior	Hearth				5.0	5.0		7.0		Homestead	17.0
Argonian Rack, Sturdy	fine	Hearth					7.0				Homestead	7.0
Argonian Ramekin, Bordered	superior	Hearth		4.0		9.0		5.0			Homestead	18.0
Argonian Ramekin, Hardened	fine	Hearth				4.0					Homestead	4.0
Argonian Relic, Basin	epic	Undercroft	9.0			14.0		9.0			Homestead	32.0
Argonian Relic, Serpent	epic	Undercroft	8.0			12.0		8.0			Homestead	28.0
Argonian Relic, Small Serpent	epic	Undercroft	8.0			11.0		7.0			Homestead	26.0
Argonian Scaleskin, Faded	superior	Suite		5.0						8.0	Homestead	13.0
Argonian Scaleskin, Pale	superior	Suite		5.0					8.0		Homestead	13.0
Argonian Scaleskin, Striped	superior	Suite							7.0		Homestead	7.0
Argonian Seat of Authority	epic	Dining		9.0			8.0		13.0		Homestead	30.0
Argonian Seat of Comfort	epic	Dining	8.0	8.0					12.0		Homestead	28.0
Argonian Seat of Honor	epic	Dining		8.0			8.0		12.0		Homestead	28.0
Argonian Shelf, Woven	superior	Library	5.0				8.0		6.0		Homestead	19.0
Argonian Shelves, Full	fine	Library							6.0		Homestead	6.0
Argonian Shelves, Half	fine	Library							5.0		Homestead	5.0
Argonian Skull, Crocodile	epic	Undercroft	7.0	10.0		7.0					Homestead	24.0
Argonian Skull, Lizard	epic	Undercroft	7.0	10.0		7.0					Homestead	24.0
Argonian Snakes in a Basket	superior	Hearth	4.0				7.0		6.0		Homestead	17.0
Argonian Snakes on a Rope	fine	Hearth		4.0							Homestead	4.0
Argonian Stool, Roped	fine	Workshop					5.0				Homestead	5.0
Argonian Stool, Woven	superior	Workshop					7.0	5.0	5.0		Homestead	17.0
Argonian Table, Formal	superior	Dining					9.0	6.0	6.0		Homestead	21.0
Argonian Table, Horn	epic	Dining		7.0		8.0	11.0				Homestead	26.0
Argonian Table, Rough	fine	Dining					6.0				Homestead	6.0
Argonian Tarp, Sturdy	fine	Structures							5.0		Homestead	5.0
Argonian Tarp, Woven	fine	Structures							5.0		Homestead	5.0
Argonian Tent, Reed	fine	Structures					7.0		4.0		Homestead	11.0
Argonian Tile, Inscribed	epic	Structures	8.0			12.0		8.0			Homestead	28.0
Argonian Totem of Skulls	epic	Undercroft		10.0		7.0	7.0				Homestead	24.0
Argonian Totem of the Snake	epic	Undercroft		10.0		6.0	8.0				Homestead	24.0
Argonian Totem, Frilled Skull	superior	Undercroft		7.0		5.0	5.0				Homestead	17.0
Argonian Totem, Painted Skull	superior	Undercroft		8.0		6.0	5.0				Homestead	19.0
Argonian Tray, Woven	superior	Hearth				5.0	5.0		7.0		Homestead	17.0
Argonian Tree of Lights	epic	Lighting		10.0		6.0	7.0				Homestead	23.0
Argonian Trunk, Painted	epic	Suite	8.0				13.0			9.0	Homestead	30.0
Argonian Trunk, Sturdy	superior	Suite				5.0	9.0	4.0			Homestead	18.0
Argonian Urn, Clawfoot	superior	Undercroft		5.0		10.0		5.0			Homestead	20.0
Argonian Wind Chimes	superior	Undercroft		6.0			9.0		6.0		Homestead	21.0
Artist's Palette, Pigment	legendary	Parlor	13.0	11.0		13.0		13.0			Wolfhunter	50.0
Ashlander Cup, Empty	superior	Hearth		5.0			8.0				Morrowind / Clockwork	13.0
Ashlander Cup, Mazte	superior	Hearth		6.0			9.0				Morrowind / Clockwork	15.0
Ashlander Platter, Bread and Cheese	superior	Hearth		9.0		5.0	4.0				Morrowind / Clockwork	18.0
Ashlander Platter, Ceramic	superior	Hearth		9.0		5.0	4.0				Morrowind / Clockwork	18.0
Ayleid Bench, Carved	superior	Dining	6.0			9.0		4.0			Morrowind / Clockwork	19.0
Ayleid Bookcase, Cluttered	epic	Library	7.0	6.0		12.0			7.0		Morrowind / Clockwork	32.0
Ayleid Bookshelf, Cluttered	epic	Library	6.0	6.0		11.0			7.0		Morrowind / Clockwork	30.0
Ayleid Brazier, Fiery	epic	Lighting	8.0			9.0		13.0			Morrowind / Clockwork	30.0
Ayleid Brazier, Welkynd Holder	superior	Gallery				7.0		9.0			Morrowind / Clockwork	16.0
Ayleid Table, Carved	superior	Dining	5.0			10.0		5.0			Morrowind / Clockwork	20.0
Baked Potato, Display	superior	Hearth	5.0	7.0							Homestead	12.0
Banana, Wax	fine	Hearth		4.0							Homestead	4.0
Basket of Apples	superior	Hearth		8.0			6.0				Homestead	14.0
Basket of Apples, Full	superior	Hearth		8.0			7.0				Homestead	15.0
Basket of Corn	superior	Hearth	6.0	10.0					8.0		Homestead	24.0
Basket of Gourds	superior	Hearth		8.0			6.0				Homestead	14.0
Basket of Lettuce	superior	Hearth		8.0			6.0				Homestead	14.0
Basket of Tomatoes	superior	Hearth	6.0	10.0					8.0		Homestead	24.0
Beet String, Display	fine	Hearth		3.0							Homestead	3.0
Beets, Display	fine	Hearth		3.0							Homestead	3.0
Blackreach Geode, Iridescent	 legendary	Conservatory	13.0	9.0	10.0	13.0					Stonethorn	0.0
Book Row, Levitating	fine	Library				7.0					Summerset	7.0
Book Stack, Levitating	fine	Library				7.0					Summerset	7.0
Bottle, Elixir	epic	Hearth	11.0	7.0		8.0					Homestead	26.0
Bottle, Liquor	epic	Hearth	11.0	7.0		8.0					Homestead	26.0
Bottle, Poison Elixir	legendary	Hearth	13.0	11.0		11.0	11.0				Homestead	46.0
Bottle, Wine	epic	Hearth	11.0	9.0		6.0					Homestead	26.0
Bowl of Grubs	fine	Hearth					5.0				Murkmire	5.0
Bowl of Guts	fine	Hearth		4.0			4.0				Murkmire	8.0
Bowl of Worms	fine	Hearth		4.0			4.0				Murkmire	8.0
Bowl of Worms, Large	superior	Hearth		7.0			6.0				Murkmire	13.0
Bowl, Serving	fine	Hearth						3.0			Homestead	3.0
Box of Plums	superior	Hearth	7.0	10.0			7.0				Homestead	24.0
Bread Loaves, Round	superior	Hearth	7.0	10.0		7.0					Homestead	24.0
Bread, Braided	superior	Hearth	7.0	10.0		7.0					Homestead	24.0
Bread, Hearty Loaves	superior	Hearth	7.0	10.0		7.0					Homestead	24.0
Bread, Round	superior	Hearth	7.0	10.0		7.0					Homestead	24.0
Breton Amphora, Ceramic	fine	Hearth				6.0		4.0			Homestead	10.0
Breton Amphora, Glazed	superior	Hearth	5.0	7.0				5.0			Homestead	17.0
Breton Armchair, Padded	epic	Dining					12.0	8.0	8.0		Homestead	28.0
Breton Armoire, Knotwork	epic	Suite	8.0				13.0	9.0			Homestead	30.0
Breton Bed, Bunk	fine	Suite					4.0		6.0		Homestead	10.0
Breton Bed, Canopy	epic	Suite					12.0	6.0	14.0		Homestead	32.0
Breton Bed, Four-Poster	superior	Suite					9.0	7.0	13.0		Homestead	29.0
Breton Bed, Full	superior	Suite					9.0	6.0	12.0		Homestead	27.0
Breton Bed, Single	fine	Suite					4.0		7.0		Homestead	11.0
Breton Bench, Knotwork	superior	Dining	5.0				7.0	5.0			Homestead	17.0
Breton Bench, Plain	fine	Dining					5.0				Homestead	5.0
Breton Bookcase, Knotwork	superior	Library	9.0				12.0	6.0			Homestead	27.0
Breton Bookcase, Tall	fine	Library					7.0				Homestead	7.0
Breton Cabinet, Knotwork	epic	Hearth	9.0				13.0	8.0			Homestead	30.0
Breton Candelabra, Formal	epic	Lighting		8.0		8.0		12.0			Homestead	28.0
Breton Carpet, Bordered	epic	Parlor	9.0			9.0			14.0		Homestead	32.0
Breton Carpet, Dark	superior	Parlor	6.0				5.0		8.0		Homestead	19.0
Breton Carpet, Full	superior	Parlor	6.0			6.0			9.0		Homestead	21.0
Breton Carpet, Green	fine	Parlor	9.0			9.0			14.0		Homestead	32.0
Breton Carpet, Square	fine	Parlor							6.0		Homestead	6.0
Breton Cart, Covered Closed	epic	Courtyard					12.0	8.0	8.0		Homestead	28.0
Breton Cart, Covered Open	superior	Courtyard					13.0	8.0	8.0		Homestead	29.0
Breton Cart, Palanquin	epic	Courtyard					14.0	8.0	10.0		Homestead	32.0
Breton Cart, Wheelbarrow	fine	Courtyard					7.0	5.0			Homestead	12.0
Breton Chair, Padded	epic	Dining					12.0	8.0	8.0		Homestead	28.0
Breton Chair, Rocking	superior	Dining	5.0				7.0	5.0			Homestead	17.0
Breton Chair, Slatted	fine	Dining					4.0				Homestead	4.0
Breton Chair, Windowed	fine	Dining					5.0				Homestead	5.0
Breton Chamberstick, Short	superior	Lighting		8.0		4.0		5.0			Homestead	17.0
Breton Chamberstick, Tall	superior	Lighting		9.0		5.0		5.0			Homestead	19.0
Breton Chandelier, Wrought Iron	epic	Lighting		10.0		8.0		14.0			Homestead	32.0
Breton Chest of Drawers	superior	Suite	5.0				9.0	7.0			Homestead	21.0
Breton Chest, Knotwork	superior	Suite	5.0				8.0	6.0			Homestead	19.0
Breton Coffer, Knotwork	epic	Suite	7.0				13.0	10.0			Homestead	30.0
Breton Counter, Cabinet	epic	Dining	8.0				13.0	9.0			Homestead	30.0
Breton Counter, Corner	epic	Dining	8.0				13.0	9.0			Homestead	30.0
Breton Counter, Long Cabinet	superior	Dining	5.0				7.0	5.0			Homestead	17.0
Breton Cradle, Infant	epic	Suite					10.0	7.0	13.0		Homestead	30.0
Breton Cupboard, Knotwork	superior	Hearth	7.0				11.0	8.0			Homestead	26.0
Breton Curio, Knotwork	epic	Hearth	9.0				13.0	8.0			Homestead	30.0
Breton Curtains, Window	epic	Parlor	8.0			8.0			12.0		Homestead	28.0
Breton Desk	fine	Library					7.0				Homestead	7.0
